nodes,cp_time,greedy_time,cp_colors,greedy_colors
10,0.016481955846150715,1.9788742065429688e-05,3.0,3.0
20,0.014886935551961264,2.002716064453125e-05,3.0,4.0
50,0.014820734659830729,4.38690185546875e-05,3.0,4.0
100,0.026992082595825195,8.33272933959961e-05,3.0,4.0
